"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XZMIENEV","conferencePaper","2017","Shirataki, S.; Yamaguchi, S.","A study on interpretability of decision of machine learning","2017 IEEE International Conference on Big Data (Big Data)","","","10.1109/BigData.2017.8258557","","Machine learning is one of the most important fields in recent improvement in big data analysis. Many people apply machine learning for a variety of domains for various purposes, such as classification of opinions. However, the constructed models of machine learning are black boxes. They cannot understand the background reason for their decisions. In many cases, understanding the reasons important. In this paper, we focus on interpretation of models and understanding of decision reasons. First, we introduce the results of an opinions classification of the reviews with Support Vector Machine (SVM). Second, we interpret the model by analyzing weights of the model. Third, we introduce a method for helping to understand the reasons for a decision by SVM by providing a simplified information of the highly weighted words.","2017-12","2019-05-16 16:46:55","2019-05-16 17:48:53","","4830-4831","","","","","","","","","","","","","","","","","","","","Citation Key: 8258557  bibtex*[number=;comments=Presents a specific method for enhancing explainability for models,]  ISSN:","","/home/tim/Zotero/storage/ZBXG7NCC/8258557.html; /home/tim/Zotero/storage/NY97YJXG/Shirataki and Yamaguchi - 2017 - A study on interpretability of decision of machine.pdf","","Analytical models; Big Data; big data analysis; black boxes; data analysis; decision reasons; DVD; highly weighted words; interpretability; learning (artificial intelligence); machine learning; opinions classification; pattern classification; Predictive models; Support Vector Machine; support vector machines; Support vector machines; SVM; text analysis; Tools; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBWFJ6U2","conferencePaper","2018","Marino, D. L.; Wickramasinghe, C. S.; Manic, M.","An Adversarial Approach for Explainable AI in Intrusion Detection Systems","IECON 2018 - 44th Annual Conference of the IEEE Industrial Electronics Society","","","10.1109/IECON.2018.8591457","","Despite the growing popularity of modern machine learning techniques (e.g, Deep Neural Networks) in cyber-security applications, most of these models are perceived as a black-box for the user. Adversarial machine learning offers an approach to increase our understanding of these models. In this paper we present an approach to generate explanations for incorrect classifications made by data-driven Intrusion Detection Systems (IDSs) An adversarial approach is used to find the minimum modifications (of the input features) required to correctly classify a given set of misclassified samples. The magnitude of such modifications is used to visualize the most relevant features that explain the reason for the misclassification. The presented methodology generated satisfactory explanations that describe the reasoning behind the mis-classifications, with descriptions that match expert knowledge. The advantages of the presented methodology are: 1) applicable to any classifier with defined gradients. 2) does not require any modification of the classifier model. 3) can be extended to perform further diagnosis (e.g. vulnerability assessment) and gain further understanding of the system. Experimental evaluation was conducted on the NSL-KDD99 benchmark dataset using Linear and Multilayer perceptron classifiers. The results are shown using intuitive visualizations in order to improve the interpretability of the results.","2018-10","2019-05-16 16:46:57","2019-05-16 17:51:07","","3237-3243","","","","","","","","","","","","","","","","","","","","Citation Key: 8591457  bibtex*[number=;comments=Presents a specific method for enhancing explainability for models,]  ISSN: 2577-1647","","/home/tim/Zotero/storage/Z5E9G9JF/8591457.html; /home/tim/Zotero/storage/PS6K757R/Marino et al. - 2018 - An Adversarial Approach for Explainable AI in Intr.pdf","","adversarial approach; adversarial machine learning; Adversarial Machine Learning; Adversarial samples; cyber-security; cyber-security applications; data-driven intrusion detection systems; deep neural networks; Estimation; explainable AI; Explainable AI; IDSs; Intrusion detection; learning (artificial intelligence); Machine learning; machine learning techniques; Mathematical model; multilayer perceptron classifiers; multilayer perceptrons; neural nets; pattern classification; security of data; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRA8CP32","journalArticle","2012","Balachandran, Vipin; Deepak P; Khemani, Deepak","Interpretable and Reconfigurable Clustering of Document Datasets by Deriving Word-Based Rules","Knowledge and Information Systems","","0219-3116","10.1007/s10115-011-0446-9","","Clusters of text documents output by clustering algorithms are often hard to interpret. We describe motivating real-world scenarios that necessitate reconfigurability and high interpretability of clusters and outline the problem of generating clusterings with interpretable and reconfigurable cluster models. We develop two clustering algorithms toward the outlined goal of building interpretable and reconfigurable cluster models. They generate clusters with associated rules that are composed of conditions on word occurrences or nonoccurrences. The proposed approaches vary in the complexity of the format of the rules; RGC employs disjunctions and conjunctions in rule generation whereas RGC-D rules are simple disjunctions of conditions signifying presence of various words. In both the cases, each cluster is comprised of precisely the set of documents that satisfy the corresponding rule. Rules of the latter kind are easy to interpret, whereas the former leads to more accurate clustering. We show that our approaches outperform the unsupervised decision tree approach for rule-generating clustering and also an approach we provide for generating interpretable models for general clusterings, both by significant margins. We empirically show that the purity and f-measure losses to achieve interpretability can be as little as 3 and 5%, respectively using the algorithms presented herein.","2012-09","2019-05-16 16:46:59","2019-05-16 16:46:59","","475-503","","3","32","","","","","","","","","","English","","","","","","","Citation Key: balachandranInterpretableReconfigurableClustering2012  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","/home/tim/Zotero/storage/CDXYWI2F/Balachandran et al. - 2012 - Interpretable and reconfigurable clustering of doc.pdf","","Data clustering; Interpretability; Text clustering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VAX22ARZ","conferencePaper","2018","Bride, Hadrien; Dong, Jie; Dong, Jin Song; Hóu, Zhé","Towards Dependable and Explainable Machine Learning Using Automated Reasoning","Formal Methods and Software Engineering","978-3-030-02450-5","","","","The ability to learn from past experience and improve in the future, as well as the ability to reason about the context of problems and extrapolate information from what is known, are two important aspects of Artificial Intelligence. In this paper, we introduce a novel automated reasoning based approach that can extract valuable insights from classification and prediction models obtained via machine learning. A major benefit of the proposed approach is that the user can understand the reason behind the decision-making of machine learning models. This is often as important as good performance. Our technique can also be used to reinforce user-specified requirements in the model as well as to improve the classification and prediction.","2018","2019-05-16 16:47:00","2019-05-16 16:47:00","","412-416","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","","English","","","","","","","Citation Key: brideDependableExplainableMachine2018  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","/home/tim/Zotero/storage/9ELNBJIK/Bride et al. - 2018 - Towards Dependable and Explainable Machine Learnin.pdf","","","","Sun, Jing; Sun, Meng","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S92DM6HA","conferencePaper","2018","Brown, Andy; Tuor, Aaron; Hutchinson, Brian; Nichols, Nicole","Recurrent Neural Network Attention Mechanisms for Interpretable System Log Anomaly Detection","Proceedings of the First Workshop on Machine Learning for Computing Systems","978-1-4503-5865-1","","10.1145/3217871.3217872","http://doi.acm.org/10.1145/3217871.3217872","","2018","2019-05-16 16:47:00","2019-05-16 16:47:00","","1:1-1:8","","","","","","","MLCS'18","","","","ACM","","","","","","","","","Citation Key: Brown:2018:RNN:3217871.3217872  bibtex*[acmid=3217872;articleno=1;comments=Presents a specific method for enhancing explainability for models,;numpages=8]  event-place: Tempe, AZ, USA","","/home/tim/Zotero/storage/35ZQSISZ/Brown et al. - 2018 - Recurrent Neural Network Attention Mechanisms for .pdf","","Anomaly detection; Attention; Interpretable Machine Learning; Online Training; Recurrent Neural Networks; System Log Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFFR4B4Z","bookSection","2018","Browne, Kieran; Swift, Ben; Gardner, Henry","Critical Challenges for the Visual Representation of Deep Neural Networks","Human and Machine Learning: Visible, Explainable, Trustworthy and Transparent","978-3-319-90403-0","","","","Artificial neural networks have proved successful in a broad range of applications over the last decade. However, there remain significant concerns about their interpretability. Visual representation is one way researchers are attempting to make sense of these models and their behaviour. The representation of neural networks raises questions which cross disciplinary boundaries. This chapter draws on a growing collection of interdisciplinary scholarship regarding neural networks. We present six case studies in the visual representation of neural networks and examine the particular representational challenges posed by these algorithms. Finally we summarise the ideas raised in the case studies as a set of takeaways for researchers engaging in this area.","2018","2019-05-16 16:47:01","2019-05-16 16:47:01","","119-136","","","","","","","Human–Computer Interaction Series","","","","Springer International Publishing","Cham","English","","","","","","","Citation Key: browneCriticalChallengesVisual2018  bibtex*[comments=Reviews the current state of explainability research,]  DOI: 10.1007/978-3-319-90403-0_7","","/home/tim/Zotero/storage/26LU4JZZ/Browne et al. - 2018 - Critical Challenges for the Visual Representation .pdf","","","","Zhou, Jianlong; Chen, Fang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQB6ZMS7","conferencePaper","2018","Costa, Felipe; Ouyang, Sixun; Dolog, Peter; Lawlor, Aonghus","Automatic Generation of Natural Language Explanations","Proceedings of the 23rd International Conference on Intelligent User Interfaces Companion","978-1-4503-5571-1","","10.1145/3180308.3180366","http://doi.acm.org/10.1145/3180308.3180366","","2018","2019-05-16 16:47:02","2019-05-16 17:55:26","","57:1-57:2","","","","","","","IUI '18 Companion","","","","ACM","","","","","","","","","Citation Key: Costa:2018:AGN:3180308.3180366  bibtex*[acmid=3180366;articleno=57;comments=Presents a specific method for enhancing explainability for models,;numpages=2]  event-place: Tokyo, Japan","","/home/tim/Zotero/storage/BPJH36CC/Costa et al. - 2018 - Automatic Generation of Natural Language Explanati.pdf","","Explainability; Explanations; Natural Language Generation; Neural Network; Recommender systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQS54N2D","conferencePaper","2017","Fernandez, Delia; Woodward, Alejandro; Campos, Victor; Giro-i-Nieto, Xavier; Jou, Brendan; Chang, Shih-Fu","More Cat Than Cute?: Interpretable Prediction of Adjective-Noun Pairs","Proceedings of the Workshop on Multimodal Understanding of Social, Affective and Subjective Attributes","978-1-4503-5509-4","","10.1145/3132515.3132520","http://doi.acm.org/10.1145/3132515.3132520","","2017","2019-05-16 16:47:02","2019-05-16 16:47:02","","61-69","","","","","","","MUSA2 '17","","","","ACM","","","","","","","","","Citation Key: Fernandez:2017:MCC:3132515.3132520  bibtex*[acmid=3132520;comments=Presents a specific method for enhancing explainability for models,;numpages=9]  event-place: Mountain View, California, USA","","/home/tim/Zotero/storage/KZFRVKX8/Fernandez et al. - 2017 - More Cat Than Cute Interpretable Prediction of A.pdf","","adjective noun pairs; affective computing; compound concepts; convolutional neural networks; interpretable models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERDST5A7","conferencePaper","2009","Green, Stephen J.; Lamere, Paul; Alexander, Jeffrey; Maillet, François; Kirk, Susanna; Holt, Jessica; Bourque, Jackie; Mak, Xiao-Wen","Generating Transparent, Steerable Recommendations from Textual Descriptions of Items","Proceedings of the Third ACM Conference on Recommender Systems","978-1-60558-435-5","","10.1145/1639714.1639768","http://doi.acm.org/10.1145/1639714.1639768","","2009","2019-05-16 16:47:02","2019-05-16 16:47:02","","281-284","","","","","","","RecSys '09","","","","ACM","","","","","","","","","Citation Key: Green:2009:GTS:1639714.1639768  bibtex*[acmid=1639768;comments=Presents a specific method for enhancing explainability for models,;numpages=4]  event-place: New York, New York, USA","","/home/tim/Zotero/storage/3ENQXWRB/Green et al. - 2009 - Generating Transparent, Steerable Recommendations .pdf","","explainable recommender; steerable recommender","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRDMAZXH","journalArticle","2018","Guidotti, Riccardo; Monreale, Anna; Ruggieri, Salvatore; Turini, Franco; Giannotti, Fosca; Pedreschi, Dino","A Survey of Methods for Explaining Black Box Models","ACM Comput. Surv.","","0360-0300","10.1145/3236009","http://doi.acm.org/10.1145/3236009","","2018-08","2019-05-16 16:47:02","2019-05-16 17:50:57","","93:1-93:42","","5","51","","","","","","","","","","","","","","","","","Citation Key: Guidotti:2018:SME:3271482.3236009  bibtex*[location=New York, NY, USA;publisher=ACM;acmid=3236009;articleno=93;comments=Reviews the current state of explainability research,;issue_date=January 2019;numpages=42]","","/home/tim/Zotero/storage/7XIYGV69/Guidotti et al. - 2018 - A Survey of Methods for Explaining Black Box Model.pdf","","explanations; interpretability; Open the black box; transparent models","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
