"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3Z738VAB","journalArticle","1999","Taha, I. A.; Ghosh, J.","Symbolic interpretation of artificial neural networks","IEEE Transactions on Knowledge and Data Engineering","","1041-4347","10.1109/69.774103","","Hybrid intelligent systems that combine knowledge-based and artificial neural network systems typically have four phases, involving domain knowledge representation, mapping of this knowledge into an initial connectionist architecture, network training and rule extraction, respectively. The final phase is important because it can provide a trained connectionist architecture with explanation power and validate its output decisions. Moreover, it can be used to refine and maintain the initial knowledge acquired from domain experts. In this paper, we present three rule extraction techniques. The first technique extracts a set of binary rules from any type of neural network. The other two techniques are specific to feedforward networks, with a single hidden layer of sigmoidal units. Technique 2 extracts partial rules that represent the most important embedded knowledge with an adjustable level of detail, while the third technique provides a more comprehensive and universal approach. A rule-evaluation technique, which orders extracted rules based on three performance measures, is then proposed. The three techniques area applied to the iris and breast cancer data sets. The extracted rules are evaluated qualitatively and quantitatively, and are compared with those obtained by other approaches.","1999-05","2019-09-20 10:15:31","2019-09-20 10:15:31","","448-463","","3","11","","","","","","","","","","","","","","","","","Citation Key: 774103  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","adjustable detail level; artificial neural networks; Artificial neural networks; binary rules; breast cancer data set; Computer networks; connectionist architecture; Data mining; domain knowledge mapping; domain knowledge representation; embedded knowledge; explanation; explanation power; feedforward networks; feedforward neural nets; Fuzzy neural networks; Fuzzy sets; hidden layer; hybrid intelligent systems; Intelligent systems; iris data set; knowledge based systems; Knowledge based systems; knowledge refinement; knowledge representation; Knowledge representation; knowledge-based systems; learning (artificial intelligence); Military computing; network training; neural net architecture; Neural networks; output decision validation; partial rules; performance measures; rule evaluation technique; rule extraction; rule ordering; sigmoidal units; symbol manipulation; symbolic interpretation; truth maintenance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NYSGCJQE","conferencePaper","2017","Shirataki, S.; Yamaguchi, S.","A study on interpretability of decision of machine learning","2017 IEEE international conference on big data (big data)","","","10.1109/BigData.2017.8258557","","Machine learning is one of the most important fields in recent improvement in big data analysis. Many people apply machine learning for a variety of domains for various purposes, such as classification of opinions. However, the constructed models of machine learning are black boxes. They cannot understand the background reason for their decisions. In many cases, understanding the reasons important. In this paper, we focus on interpretation of models and understanding of decision reasons. First, we introduce the results of an opinions classification of the reviews with Support Vector Machine (SVM). Second, we interpret the model by analyzing weights of the model. Third, we introduce a method for helping to understand the reasons for a decision by SVM by providing a simplified information of the highly weighted words.","2017-12","2019-09-20 10:15:31","2019-09-20 10:15:31","","4830-4831","","","","","","","","","","","","","","","","","","","","Citation Key: 8258557  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","Analytical models; Big Data; big data analysis; black boxes; data analysis; decision reasons; DVD; highly weighted words; interpretability; learning (artificial intelligence); machine learning; opinions classification; pattern classification; Predictive models; Support Vector Machine; support vector machines; Support vector machines; SVM; text analysis; Tools; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PB4XL82I","conferencePaper","2018","Nie, S.; Healey, C.; Padia, K.; Leeman-Munk, S.; Benson, J.; Caira, D.; Sethi, S.; Devarajan, R.","Visualizing deep neural networks for text analytics","2018 IEEE pacific visualization symposium (PacificVis)","","","10.1109/PacificVis.2018.00031","","Deep neural networks (DNNs) have made tremendous progress in many different areas in recent years. How these networks function internally, however, is often not well understood. Advances in under-standing DNNs will benefit and accelerate the development of the field. We present TNNVis, a visualization system that supports un-derstanding of deep neural networks specifically designed to analyze text. TNNVis focuses on DNNs composed of fully connected and convolutional layers. It integrates visual encodings and interaction techniques chosen specifically for our tasks. The tool allows users to: (1) visually explore DNN models with arbitrary input using a combination of node-link diagrams and matrix representation; (2) quickly identify activation values, weights, and feature map patterns within a network; (3) flexibly focus on visual information of interest with threshold, inspection, insight query, and tooltip operations; (4) discover network activation and training patterns through animation; and (5) compare differences between internal activation patterns for different inputs to the DNN. These functions allow neural network researchers to examine their DNN models from new perspectives, producing insights on how these models function. Clustering and summarization techniques are employed to support large convolutional and fully connected layers. Based on several part of speech models with different structure and size, we present multiple use cases where visualization facilitates an understanding of the models.","2018-04","2019-09-20 10:15:32","2019-09-20 10:15:32","","180-189","","","","","","","","","","","","","","","","","","","","Citation Key: 8365991  bibtex*[comments=Presents a specific method for enhancing explainability for models,]  ISSN: 2165-8773","","","","Biological neural networks; clustering techniques; Computational modeling; convolutional connected layers; convolutional layers; Convolutional neural networks; data visualisation; deep learning; deep neural networks; DNN models; DNNs; feedforward neural nets; fully connected layers; human centered computing; information visualization; interaction techniques; internal activation patterns; learning (artificial intelligence); machine learning; natural language processing; network activation; neural network researchers; Neurons; speech models; summarization techniques; Task analysis; text analysis; text analytics; TNNVis; training patterns; visual encodings; Visualization; visualization design; visualization system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2KASNV5Z","journalArticle","2019","Ming, Y.; Qu, H.; Bertini, E.","RuleMatrix: visualizing and understanding classifiers with rules","IEEE Transactions on Visualization and Computer Graphics","","1077-2626","10.1109/TVCG.2018.2864812","","With the growing adoption of machine learning techniques, there is a surge of research interest towards making machine learning systems more transparent and interpretable. Various visualizations have been developed to help model developers understand, diagnose, and refine machine learning models. However, a large number of potential but neglected users are the domain experts with little knowledge of machine learning but are expected to work with machine learning systems. In this paper, we present an interactive visualization technique to help users with little expertise in machine learning to understand, explore and validate predictive models. By viewing the model as a black box, we extract a standardized rule-based knowledge representation from its input-output behavior. Then, we design RuleMatrix, a matrix-based visualization of rules to help users navigate and verify the rules and the black-box model. We evaluate the effectiveness of RuleMatrix via two use cases and a usability study.","2019-01","2019-09-20 10:15:32","2019-09-20 10:15:32","","342-352","","1","25","","","","","","","","","","","","","","","","","Citation Key: 8440085  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","black-box model; Data models; data visualisation; Data visualization; Decision trees; explainable machine learning; interactive systems; interactive visualization technique; knowledge representation; learning (artificial intelligence); Machine learning; machine learning systems; matrix algebra; matrix-based visualization; Neural networks; pattern classification; predictive models; rule matrix; rule visualization; standardized rule-based knowledge representation; Support vector machines; visual analytics; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXYMNGN5","journalArticle","2019","Zhang, J.; Wang, Y.; Molino, P.; Li, L.; Ebert, D. S.","Manifold: A model-agnostic framework for interpretation and diagnosis of machine learning models","IEEE Transactions on Visualization and Computer Graphics","","1077-2626","10.1109/TVCG.2018.2864499","","Interpretation and diagnosis of machine learning models have gained renewed interest in recent years with breakthroughs in new approaches. We present Manifold, a framework that utilizes visual analysis techniques to support interpretation, debugging, and comparison of machine learning models in a more transparent and interactive manner. Conventional techniques usually focus on visualizing the internal logic of a specific model type (i.e., deep neural networks), lacking the ability to extend to a more complex scenario where different model types are integrated. To this end, Manifold is designed as a generic framework that does not rely on or access the internal logic of the model and solely observes the input (i.e., instances or features) and the output (i.e., the predicted result and probability distribution). We describe the workflow of Manifold as an iterative process consisting of three major phases that are commonly involved in the model development and diagnosis process: inspection (hypothesis), explanation (reasoning), and refinement (verification). The visual components supporting these tasks include a scatterplot-based visual summary that overviews the models' outcome and a customizable tabular view that reveals feature discrimination. We demonstrate current applications of the framework on the classification and regression tasks and discuss other potential machine learning use scenarios where Manifold can be applied.","2019-01","2019-09-20 10:15:32","2019-09-20 10:15:32","","364-373","","1","25","","","","","","","","","","","","","","","","","Citation Key: 8440091  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","Analytical models; classification tasks; Computational modeling; customizable tabular view; data analysis; Data models; data visualisation; debugging; deep neural networks; diagnosis process; explanation; feature discrimination; generic framework; inspection; Interactive machine learning; internal logic; interpretation; iterative methods; learning (artificial intelligence); Machine learning; machine learning models; manifold; Manifolds; model comparison; model debugging; model development; model-agnostic framework; models outcome; neural nets; performance analysis; potential machine learning; refinement; regression analysis; regression tasks; scatterplot-based visual summary; specific model type; Task analysis; visual analysis techniques; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VLCSIJ8","journalArticle","2018","Adadi, A.; Berrada, M.","Peeking inside the black-box: A survey on explainable artificial intelligence (XAI)","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2870052","","At the dawn of the fourth industrial revolution, we are witnessing a fast and widespread adoption of artificial intelligence (AI) in our daily life, which contributes to accelerating the shift towards a more algorithmic society. However, even with such unprecedented advancements, a key impediment to the use of AI-based systems is that they often lack transparency. Indeed, the black-box nature of these systems allows powerful predictions, but it cannot be directly explained. This issue has triggered a new debate on explainable AI (XAI). A research field holds substantial promise for improving trust and transparency of AI-based systems. It is recognized as the sine qua non for AI to continue making steady progress without disruption. This survey provides an entry point for interested researchers and practitioners to learn key aspects of the young and rapidly growing body of research related to XAI. Through the lens of the literature, we review the existing approaches regarding the topic, discuss trends surrounding its sphere, and present major research trajectories.","2018","2019-09-20 10:15:33","2019-09-20 10:15:33","","52138-52160","","","6","","","","","","","","","","","","","","","","","Citation Key: 8466590  bibtex*[comments=Reviews the current state of explainability research,]","","","","AI-based systems; artificial intelligence; Biological system modeling; black-box models; black-box nature; Conferences; explainable AI; explainable artificial intelligence; Explainable artificial intelligence; fourth industrial revolution; interpretable machine learning; Machine learning; Machine learning algorithms; Market research; Prediction algorithms; XAI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SM7B4GHE","conferencePaper","2018","Yanagimto, H.; Hashimoto, K.; Okada, M.","Attention visualization of gated convolutional neural networks with self attention in sentiment analysis","2018 international conference on machine learning and data engineering (iCMLDE)","","","10.1109/iCMLDE.2018.00024","","Deep learning is applied to many research topics; Natural Language Processing, Image Processing, and Acoustic Recognition. In deep learning, neural networks have a very complex and deep structure and it is difficult to discuss why they work well or not. So you have to take a trial-and-error to improve their performances. We develop a mechanism to show how neural networks predict final results and help you to design a new neural network architecture based on its prediction criteria. Speaking concrete, we visualize important features to predict the final results with an attentional mechanism. In this paper, we take up sentient analysis, which is one of natural language processing tasks. In image processing visualizing weights of a neural network is a major approach and you can obtain intuitive results; object outlines and object components. However, in natural language processing, the approach is not interpretable because a discriminate function constructed by a neural network is a complex and nonlinear one and it is very difficult to correlate weights and words in a text. We employ Gated Convolutional Neural Network (GCNN) and introduce a self-attention mechanism to understand how GCNN determines sentiment polarities from raw reviews. GCNN can simulate an n-gram model and the self-attention mechanism can make correspondence between weights of a neural network and words clear. In experiments, we used Amazon reviews and evaluated the performance of the proposed method. Especially, the proposed method was able to emphasize some words in the review to determine sentiment polarity. Moreover, when the prediction was wrong, we were able to understand why the proposed method made mistakes because we found what words the proposed method emphasized.","2018-12","2019-09-20 10:15:34","2019-09-20 10:15:34","","77-82","","","","","","","","","","","","","","","","","","","","Citation Key: 8614007  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","Amazon reviews; attention visualization; convolutional neural nets; Convolutional neural networks; deep learning; Deep learning; Gated CNN; gated convolutional neural networks; GCNN; Kernel; learning (artificial intelligence); Logic gates; natural language processing; Natural language processing; neural net architecture; neural network architecture; self-attention mechanism; sentient analysis; sentiment analysis; Sentiment analysis; Task analysis; the self-attention mechanism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXP7FWGS","conferencePaper","2018","Chhatwal, R.; Gronvall, P.; Huber-Fliflet, N.; Keeling, R.; Zhang, J.; Zhao, H.","Explainable text classification in legal document review A case study of explainable predictive coding","2018 IEEE international conference on big data (big data)","","","10.1109/BigData.2018.8622073","","In today's legal environment, lawsuits and regulatory investigations require companies to embark upon increasingly intensive data-focused engagements to identify, collect and analyze large quantities of data. When documents are staged for review - where they are typically assessed for relevancy or privilege - the process can require companies to dedicate an extraordinary level of resources, both with respect to human resources, but also with respect to the use of technology-based techniques to intelligently sift through data. Companies regularly spend millions of dollars producing `responsive' electronically-stored documents for these types of matters. For several years, attorneys have been using a variety of tools to conduct this exercise, and most recently, they are accepting the use of machine learning techniques like text classification (referred to as predictive coding in the legal industry) to efficiently cull massive volumes of data to identify responsive documents for use in these matters. In recent years, a group of AI and Machine Learning researchers have been actively researching Explainable AI. In an explainable AI system, actions or decisions are human understandable. In typical legal `document review' scenarios, a document can be identified as responsive, as long as one or more of the text snippets (small passages of text) in a document are deemed responsive. In these scenarios, if predictive coding can be used to locate these responsive snippets, then attorneys could easily evaluate the model's document classification decision. When deployed with defined and explainable results, predictive coding can drastically enhance the overall quality and speed of the document review process by reducing the time it takes to review documents. Moreover, explainable predictive coding provides lawyers with greater confidence in the results of that supervised learning task. The authors of this paper propose the concept of explainable predictive coding and simple explainable predictive coding methods to locate responsive snippets within responsive documents. We also report our preliminary experimental results using the data from an actual legal matter that entailed this type of document review. The purpose of this paper is to demonstrate the feasibility of explainable predictive coding in the context of professional services in the legal space.","2018-12","2019-09-20 10:15:34","2019-09-20 10:15:34","","1905-1911","","","","","","","","","","","","","","","","","","","","Citation Key: 8622073  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","data-focused engagements; document classification; electronically-stored documents; explainable AI; explainable AI system; explainable predictive coding; explainable predictive coding methods; Law; law administration; legal document review; machine learning; Machine learning; machine learning researchers; pattern classification; predictive coding; Predictive coding; Predictive models; responsive documents; responsive snippets; supervised learning; supervised learning task; technology-based techniques; text analysis; text categorization; Text categorization; text classification; typical legal document review scenarios","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNNG9JZD","journalArticle","2019","Cui, X.; Wang, D.; Wang, Z. J.","Multi-scale interpretation model for convolutional neural networks: building trust based on hierarchical interpretation","IEEE Transactions on Multimedia","","1520-9210","10.1109/TMM.2019.2902099","","With the rapid development of deep learning models, their performances in various tasks are improved, while meanwhile their increasingly intricate architectures make them difficult to interpret. To tackle this challenge, model interpretability is essential and has been investigated in a wide range of applications. For end users, model interpretability can be used to build trust in the deployed machine learning models. For practitioners, interpretability plays a critical role in model explanation, model validation, and model improvement to develop a faithful model. In the paper, we propose a novel Multi-scale INTerpretation (MINT) model for convolutional neural networks using both the perturbation-based and the gradient-based interpretation approaches. It learns the class-discriminative interpretable knowledge from the multi-scale perturbation of feature information in different layers of deep networks. The proposed MINT model provides the coarse-scale and the fine-scale interpretations for the attention in the deep layer and specific features in the shallow layer, respectively. Experimental results show that the MINT model presents the class-discriminative interpretation of the network decision and explains the significance of the hierarchical network structure.","2019","2019-09-20 10:15:34","2019-09-20 10:15:34","","1-1","","","","","","","","","","","","","","","","","","","","Citation Key: 8653995  bibtex*[comments=Presents a specific method for enhancing explainability for models,]","","","","Analytical models; Computational modeling; convolutional neural networks; Feature extraction; Heating systems; Image segmentation; Model interpretability; model-agnostic; multi-scale interpretation; Perturbation methods; Visualization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9UZXQ26","conferencePaper","2019","Kim, D.; Lim, W.; Hong, M.; Kim, H.","The structure of deep neural network for interpretable transfer learning","2019 IEEE international conference on big data and smart computing (BigComp)","","","10.1109/BIGCOMP.2019.8679150","","Training a deep neural network requires a large amount of high-quality data and time. However, most of the real tasks don't have enough labeled data to train each complex model. To solve this problem, transfer learning reuses the pretrained model on a new task. However, one weakness of transfer learning is that it applies a pretrained model to a new task without understanding the output of an existing model. This may cause a lack of interpretability in training deep neural network. In this paper, we propose a technique to improve the interpretability in transfer learning tasks. We define the interpretable features and use it to train model to a new task. Thus, we will be able to explain the relationship between the source and target domain in a transfer learning task. Feature Network (FN) consists of Feature Extraction Layer and a single mapping layer that connects the features extracted from the source domain to the target domain. We examined the interpretability of the transfer learning by applying pretrained model with defined features to Korean characters classification.","2019-02","2019-09-20 10:15:34","2019-09-20 10:15:34","","1-4","","","","","","","","","","","","","","","","","","","","Citation Key: 8679150  bibtex*[comments=Presents a specific method for enhancing explainability for models,]  ISSN: 2375-9356","","","","complex model; Computational modeling; Convolution; Data models; deep neural network; feature extraction; Feature extraction; feature extraction layer; high-quality data; image classification; interpretability; Interpretability; interpretable features; interpretable transfer learning; Korean characters classification; learning (artificial intelligence); Machine Learning; natural language processing; neural nets; Neural networks; pretrained model; Task analysis; Training; Transfer Learning; transfer learning task","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
